goal_x goal_y
-26.922395 24.551242
-1.203851 39.600273
-11.807873 26.257436
13.457222 -22.206524
3.208489 -26.247579
20.998972 18.216136
12.975585 -25.588880
4.286502 -34.833045
38.633395 -6.716720
11.964587 22.477915
-32.995212 -22.172709
-26.098338 -5.523302
3.133677 29.635422
-34.074295 8.530050
17.395805 -19.036376
-7.174682 34.331932
8.345839 26.227748
-23.736170 -12.721167
18.615854 17.065334
33.395512 10.288987
-35.752943 14.840695
-34.955629 -19.189516
-24.800894 13.400354
22.509285 11.428865
-7.655541 -32.051540
19.619457 32.965480
-31.101180 8.772263
-25.007501 2.012824
8.574917 -37.445831
-9.009099 -36.837375
-13.902657 22.390675
0.383133 -35.345684
28.486070 -22.698023
34.985312 0.712347
31.793246 -18.143490
-13.323149 -28.647753
7.461292 37.522092
-30.764682 -13.763832
-21.804696 -28.264344
-28.379909 27.979961
-19.190207 -17.467766
16.064292 -29.851246
30.400294 -16.515232
25.518977 -12.725344
-37.814059 -8.806117
-25.254702 17.490913
-19.528383 30.828088
17.534087 -31.171511
9.663258 29.747835
20.763053 27.960590
-17.933329 28.369375
-3.141824 26.348420
21.080761 17.453927
-29.165096 -23.932801
37.210624 -6.493508
26.950847 -24.897395
-30.581257 14.448146
10.523376 -32.555820
2.475482 -39.568268
-18.702433 -29.285543
12.773657 -22.819699
5.654673 38.262665
19.647969 -30.023109
-29.622982 -20.060861
30.290950 1.967749
-4.871987 36.918442
-31.289683 -18.987811
8.530748 -35.027018
38.422503 -4.467622
-2.096030 25.920794
6.200107 25.936844
10.640641 34.475433
-23.922123 15.101091
1.622351 30.896251
-12.253880 -30.671516
-33.112025 13.703912
32.167004 -1.471546
17.277665 33.377724
-12.303273 -23.919816
-10.118756 33.932302
30.329978 -13.700737
-17.501558 -30.714879
-19.923894 17.996202
-28.317936 12.602330
-20.902116 -32.657011
-21.850937 27.522707
32.811530 -7.986191
-27.275967 -19.133524
21.325438 24.963148
-25.322548 -23.590354
6.268648 30.041523
31.631686 13.798796
4.691151 30.359532
25.755476 29.994042
18.448257 -28.961943
39.844209 3.493902
24.059308 -16.689996
-19.259148 26.209042
9.668827 33.893642
1.626210 32.530792
