goal_x goal_y
4.916708 11.909987
-6.762866 -9.630187
8.971506 16.468020
1.762144 -17.736303
-1.496144 12.585752
7.666386 -13.359749
7.827055 12.813091
16.859505 0.247075
-1.046868 11.526610
-5.444849 -11.448718
8.521828 -10.388279
14.811336 6.949532
14.634128 -11.081264
9.845394 -11.640469
2.037220 13.302887
-15.666279 -9.438058
12.831041 2.731992
-10.710566 6.818697
-12.248794 -7.339258
3.910754 -16.785073
14.430452 -7.098523
16.176856 -10.510818
-13.117767 -9.380559
-13.255431 -12.756160
-8.066635 13.653672
-5.939107 14.939503
13.121385 -10.928338
3.739854 13.755217
9.990588 -11.569185
9.422468 13.945021
14.218513 9.938399
-10.904038 11.572323
-15.761566 5.378622
0.484408 -16.280231
-12.996140 2.524910
-10.020425 -14.424898
2.381380 -10.986090
10.531816 -1.245739
-5.109910 -14.043137
-1.647639 15.206288
-9.916665 10.922998
0.472264 14.494575
16.125644 3.293058
-7.358240 17.388006
-4.024802 -10.939710
-13.063104 -11.913699
7.240466 14.694270
-16.454229 -8.044421
7.505836 8.679149
5.876665 10.896884
5.801521 9.604356
-8.910251 -9.657148
4.436344 -18.809722
5.579562 -9.213436
7.495662 -10.882783
18.306505 5.241654
7.140199 -9.414538
-12.293488 10.973177
-6.878866 14.746220
4.457246 9.413250
-4.997012 -16.591697
-16.207972 -2.610878
-2.915584 13.960305
-8.073326 -14.097645
-9.289156 17.401197
-17.291141 4.529449
10.929549 9.997456
2.405170 -14.982501
-11.238144 16.164091
-1.223015 15.979144
-5.998483 -16.498407
-11.822376 -3.646032
-13.494232 -9.963885
1.014304 18.024203
6.607801 -18.252679
-11.915411 -9.688438
-7.663792 -16.982834
2.310060 -18.192942
14.628380 1.387670
9.556654 -6.436586
-10.669869 -15.540246
18.040340 1.970671
-17.573259 3.996666
-5.804844 14.046007
5.679108 -9.743880
0.195307 12.994501
-4.672824 18.851780
14.063684 0.631810
15.905335 -10.270820
-15.279397 -5.108587
12.118104 12.386649
-10.382309 11.658200
-1.398036 -14.909035
11.117431 11.142351
8.433822 -6.848962
17.999950 -1.213193
-18.499837 -4.558539
7.298878 14.042955
-10.106922 7.742905
-9.113694 -12.931228
